Krebsart;Alter;Geschlecht;Prävalenzzeitraum;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Brustdrüse (C50);55 - 64;weiblich;1;14.373;13.820;14.335;14.880;18.440;18.412;16.649;16.428;16.313;15.913;15.619;15.473;15.420;15.114;15.638;16.116
Brustdrüse (C50);55 - 64;männlich;1;103;117;96;116;106;115;132;102;143;119;119;113;126;133;131;138
Brustdrüse (C50);65 - 74;weiblich;1;13.857;14.387;15.697;17.020;20.210;19.772;18.353;17.425;16.633;16.442;15.796;15.096;14.398;14.495;14.136;14.181
Brustdrüse (C50);65 - 74;männlich;1;158;181;159;222;156;212;225;199;229;231;185;175;191;172;185;184
Brustdrüse (C50);75 und älter;weiblich;1;13.578;14.649;14.818;15.766;15.636;16.098;16.026;16.340;16.889;16.355;17.283;17.427;17.607;17.775;18.562;18.477
Brustdrüse (C50);75 und älter;männlich;1;142;172;164;188;144;175;206;227;258;266;264;215;275;265;276;290
Vulva (C51);0 - 44;weiblich;1;179;206;227;210;212;231;255;243;244;218;188;194;207;203;193;181
Vulva (C51);0 - 44;männlich;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vulva (C51);45 - 54;weiblich;1;209;233;264;290;288;315;353;365;335;351;367;355;362;345;342;304
Vulva (C51);45 - 54;männlich;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vulva (C51);55 - 64;weiblich;1;304;307;324;397;369;408;448;464;445;483;467;479;445;510;461;498
Vulva (C51);55 - 64;männlich;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vulva (C51);65 - 74;weiblich;1;470;519;651;617;626;682;766;677;727;725;648;603;610;651;613;616
Vulva (C51);65 - 74;männlich;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vulva (C51);75 und älter;weiblich;1;862;1.008;1.104;1.078;1.048;1.103;1.228;1.275;1.303;1.200;1.274;1.225;1.263;1.303;1.297;1.361
Vulva (C51);75 und älter;männlich;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gebärmutterhals (C53);0 - 44;weiblich;1;1.751;1.713;1.853;1.713;1.653;1.649;1.519;1.405;1.442;1.350;1.370;1.347;1.289;1.385;1.337;1.394
Gebärmutterhals (C53);0 - 44;männlich;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gebärmutterhals (C53);45 - 54;weiblich;1;911;965;1.005;1.074;1.104;1.079;1.023;1.017;1.083;1.033;969;985;885;918;885;880
Gebärmutterhals (C53);45 - 54;männlich;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gebärmutterhals (C53);55 - 64;weiblich;1;701;673;654;689;689;751;761;749;787;752;749;759;776;810;817;853
Gebärmutterhals (C53);55 - 64;männlich;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gebärmutterhals (C53);65 - 74;weiblich;1;563;517;542;602;586;586;543;581;534;516;487;470;492;490;538;500
Gebärmutterhals (C53);65 - 74;männlich;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gebärmutterhals (C53);75 und älter;weiblich;1;672;418;491;560;532;542;507;569;541;469;465;423;454;498;479;477
Gebärmutterhals (C53);75 und älter;männlich;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gebärmutterkörper (C54-C55);0 - 44;weiblich;1;403;423;398;405;376;404;385;355;354;304;318;303;322;298;311;334
Gebärmutterkörper (C54-C55);0 - 44;männlich;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gebärmutterkörper (C54-C55);45 - 54;weiblich;1;1.196;1.279;1.239;1.329;1.275;1.338;1.352;1.300;1.330;1.240;1.322;1.310;1.301;1.295;1.271;1.274
Gebärmutterkörper (C54-C55);45 - 54;männlich;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gebärmutterkörper (C54-C55);55 - 64;weiblich;1;2.812;2.764;2.449;2.733;2.371;2.483;2.419;2.340;2.557;2.470;2.522;2.566;2.599;2.713;2.835;2.933
Gebärmutterkörper (C54-C55);55 - 64;männlich;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gebärmutterkörper (C54-C55);65 - 74;weiblich;1;3.554;3.620;3.628;3.766;3.680;3.623;3.278;3.214;3.206;2.933;2.884;2.778;2.728;2.597;2.680;2.729
Gebärmutterkörper (C54-C55);65 - 74;männlich;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gebärmutterkörper (C54-C55);75 und älter;weiblich;1;3.012;3.004;2.953;3.105;2.982;2.882;3.078;3.072;2.986;3.097;3.227;2.792;2.865;3.143;3.085;3.181
Gebärmutterkörper (C54-C55);75 und älter;männlich;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
